timestamp,mqtt_messages,websocket_messages,db_inserts,skipped,errors,success_rate
2025-05-14T06:51:11.114Z,995,10087,10497,0,585,94.72
2025-05-14T06:51:41.114Z,995,10087,10497,0,585,94.72
2025-05-14T06:52:11.121Z,995,10087,10497,0,585,94.72
2025-05-14T06:52:41.122Z,995,10087,10497,0,585,94.72
2025-05-14T06:53:11.123Z,995,10087,10497,0,585,94.72
2025-05-14T06:53:41.124Z,995,10087,10497,0,585,94.72
2025-05-14T06:54:11.133Z,995,10087,10497,0,585,94.72
2025-05-14T06:54:41.140Z,995,10087,10497,0,585,94.72
2025-05-14T06:55:11.140Z,995,10087,10497,0,585,94.72
2025-05-14T06:55:41.155Z,995,10087,10497,0,585,94.72
2025-05-14T06:56:11.164Z,995,10087,10497,0,585,94.72
2025-05-14T06:56:41.165Z,995,10087,10497,0,585,94.72
2025-05-14T06:57:11.178Z,995,10087,10497,0,585,94.72
2025-05-14T06:57:41.178Z,995,10087,10497,0,585,94.72
2025-05-14T06:58:11.179Z,995,10087,10497,0,585,94.72
2025-05-14T06:58:41.184Z,995,10087,10497,0,585,94.72
2025-05-14T06:59:11.188Z,995,10087,10497,0,585,94.72
2025-05-14T06:59:41.188Z,995,10087,10497,0,585,94.72
2025-05-14T07:00:11.190Z,995,10087,10497,0,585,94.72
2025-05-14T07:00:41.201Z,995,10087,10497,0,585,94.72
2025-05-14T07:01:11.209Z,995,10087,10497,0,585,94.72
2025-05-14T07:01:41.217Z,995,10087,10497,0,585,94.72
2025-05-14T07:02:11.227Z,995,10087,10497,0,585,94.72
2025-05-14T07:02:41.239Z,995,10087,10497,0,585,94.72
2025-05-14T07:03:11.249Z,995,10087,10497,0,585,94.72
2025-05-14T07:03:41.254Z,995,10087,10497,0,585,94.72
2025-05-14T07:04:11.267Z,995,10087,10497,0,585,94.72
2025-05-14T07:04:41.276Z,995,10087,10497,0,585,94.72
2025-05-14T07:05:11.277Z,995,10087,10497,0,585,94.72
2025-05-14T07:05:41.287Z,995,10087,10497,0,585,94.72
2025-05-14T07:06:11.287Z,995,10087,10497,0,585,94.72
2025-05-14T07:06:41.292Z,995,10087,10497,0,585,94.72
2025-05-14T07:07:11.295Z,995,10087,10497,0,585,94.72
2025-05-14T07:07:41.296Z,995,10087,10497,0,585,94.72
2025-05-14T07:08:11.296Z,995,10087,10497,0,585,94.72
2025-05-14T07:08:41.297Z,995,10087,10497,0,585,94.72
2025-05-14T07:09:11.309Z,995,10087,10497,0,585,94.72
2025-05-14T07:09:41.316Z,995,10087,10497,0,585,94.72
2025-05-14T07:10:11.316Z,995,10087,10497,0,585,94.72
2025-05-14T07:10:41.321Z,995,10087,10497,0,585,94.72
2025-05-14T07:11:11.471Z,995,10087,10497,0,585,94.72
2025-05-14T07:11:41.476Z,995,10087,10497,0,585,94.72
2025-05-14T07:12:11.483Z,995,10087,10497,0,585,94.72
2025-05-14T07:12:41.486Z,995,10087,10497,0,585,94.72
2025-05-14T07:13:11.494Z,995,10087,10497,0,585,94.72
2025-05-14T07:13:41.493Z,995,10087,10497,0,585,94.72
2025-05-14T07:14:11.495Z,995,10087,10497,0,585,94.72
2025-05-14T07:14:43.543Z,995,10087,10497,0,585,94.72
2025-05-14T07:15:13.550Z,995,10087,10497,0,585,94.72
2025-05-14T07:15:43.575Z,1003,10135,10553,0,585,94.75
2025-05-14T07:16:13.584Z,1033,10303,10751,0,585,94.84
2025-05-14T07:16:43.586Z,1062,10477,10954,0,585,94.93
2025-05-14T07:17:13.587Z,1092,10645,11152,0,585,95.02
2025-05-14T07:17:43.595Z,1122,10819,11356,0,585,95.10
2025-05-14T07:18:13.603Z,1152,10993,11560,0,585,95.18
2025-05-14T07:18:45.342Z,1181,11161,11709,0,585,94.87
2025-05-14T07:19:15.342Z,1187,11191,11793,0,585,95.27
2025-05-14T07:19:46.368Z,1187,11191,11793,0,585,95.27
2025-05-14T07:20:16.567Z,1187,11191,11793,0,585,95.27
2025-05-14T07:20:46.977Z,1187,11191,11793,0,585,95.27
2025-05-14T07:21:16.979Z,1187,11191,11793,0,585,95.27
2025-05-14T07:21:47.110Z,1187,11191,11793,0,585,95.27
2025-05-14T07:22:17.228Z,1187,11191,11793,0,585,95.27
2025-05-14T07:22:50.305Z,1187,11191,11793,0,585,95.27
2025-05-14T07:23:20.305Z,1187,11191,11793,0,585,95.27
2025-05-14T07:23:50.387Z,1187,11191,11793,0,585,95.27
2025-05-14T07:24:23.121Z,1187,11191,11793,0,585,95.27
2025-05-14T07:24:53.122Z,1187,11191,11793,0,585,95.27
2025-05-14T07:25:23.123Z,1187,11191,11793,0,585,95.27
2025-05-14T07:25:57.145Z,1187,11191,11793,0,585,95.27
2025-05-14T07:26:33.145Z,1187,11191,11793,0,585,95.27
2025-05-14T07:27:03.148Z,1187,11191,11793,0,585,95.27
2025-05-14T07:27:33.153Z,1187,11191,11793,0,585,95.27
2025-05-14T07:28:03.913Z,1187,11191,11793,0,585,95.27
2025-05-14T07:28:33.914Z,1187,11191,11793,0,585,95.27
2025-05-14T07:29:03.914Z,1187,11191,11793,0,585,95.27
2025-05-14T07:29:35.181Z,1187,11191,11793,0,585,95.27
2025-05-14T07:30:05.296Z,1187,11191,11793,0,585,95.27
2025-05-14T07:30:35.297Z,1187,11191,11793,0,585,95.27
2025-05-14T07:31:05.298Z,1187,11191,11793,0,585,95.27
2025-05-14T07:31:35.298Z,1187,11191,11793,0,585,95.27
2025-05-14T07:32:05.907Z,1187,11191,11793,0,585,95.27
